title,country,poster,release_year,genre,director,starring
13 Golden Nuns,Taiwan,https://en.hkcinema.ru/foto/d1f98117.jpg,1977,martial arts,Chang Mei-Chun ,"Pai Ying, Han Hsiang-Chin, Liang Hsiu-Shen, Cheung Yu-Yuk, Lam Dai, Goo Chang, Lee Ying "
The 13 Cold-Blooded Eagles,Hong Kong,https://en.hkcinema.ru/foto/c6339753.jpg,1993,"martial arts, fantasy",Chui Fat ,"Waise Lee Chi-Hung, Cynthia Khan, Yen Shi-Kwan, Chung Fat, Wan Seung-Lam, Lau Ji-Wai, Anthony Cho Cheuk-Nin, Tin Ching, Ng Ting-Ko "
13 Worms,Taiwan,https://en.hkcinema.ru/foto/bead8fa0.jpg,1970,"martial arts, comedy",Hou Cheng ,"Violet Pan Ying-Zi, Chiang Ming, Lee Yan-Wa, Fong Wan-Wan, Sek Fung, Chiang Kuang-Chao, Heung Yeung, Ku Kwan, Li Yi-Min, Wong Yu "
14 Blades,Hong Kong,https://en.hkcinema.ru/foto/bf050942.jpg,2010,"martial arts, historical",Daniel Lee Yan-Gong ,"Donnie Yen Ji-Dan, Vicki Zhao Wei, Wu Ma, Kate Tsui Tsz-Shan, Law Kar-Ying, Sammo Hung Kam-Bo, Wu Chun, Fung Hak-On, Qi Yu-Wu, Chen Kuan-Tai "
The 18 Amazones,South Korea,https://en.hkcinema.ru/foto/08712cd5.jpg,1977,martial arts,Kim Jung-Yong ,"Dragon Lee, Pearl Lin Yin-Zhu, Chang Yi-Tao, Kim Ki-Ju, Elton Chong, Kim Yu-Haeng, Guk Ching-Woon, Choe Mu-Ung, Kim Myeong-Ah, Kim Dong-Ho "
The 18 Bronzemen,Taiwan,https://en.hkcinema.ru/foto/58adfc83b1d90.jpg,1976,martial arts,Joseph Kuo Nan-Hong ,"Tien Peng, Carter Wong Ka-Tat, Polly Shang-Kuan Ling-Feng, Yee Yuen, Ko Yu-Min, Chiang Nan, Liu Ping, Chang Yu, Lu Bi-Yun, Kam Kong "
The 18 Bronze Girls of Shaolin,Taiwan,https://en.hkcinema.ru/foto/59b2c580.jpg,1978,"martial arts, fantasy",,"Doris Lung Chun-Erh, Kam Kong, Yueh Hua, Lee Ying, Liu Shan, Tung Fang-Yu, Sze-Ma Yu-Chiao, Chow Jun, Chen Chin-Hai, Au-Yeung Chung "
18 Shaolin Golden Boys,Hong Kong,https://en.hkcinema.ru/foto/913c3a87.jpg,1996,martial arts,Do Wai-Daat ,"Yu Rong-Guang, Willie Chi Tin-Sang, Cherie Chan Siu-Ha, Shing Fui-On, Billy Chow Bei-Lei, William Ho Ka-Kui, Chung Gwok-Lung, Lee Chi-Chung "
18 Swirling Riders,Taiwan,https://en.hkcinema.ru/foto/ed51ae8a.jpg,1977,martial arts,Lin Fu-Ti ,"Chan Sing, Chia Ling, Lo Lieh, Don Wong Tao, Wen Chiang-Long, Chan Wai-Lau, Fan Dan-Fung, Cheung Ying, Liu Ping, Cheng Fu-Hung "
The Eighteen Jade Arhats,Hong Kong,https://en.hkcinema.ru/foto/ef2aa597.jpg,1978,martial arts,Cheung Git ,"Polly Shang-Kuan Ling-Feng, Li Lung-Hua, Lo Lieh, Lung Fei, Chang Yu, Phillip Ko Fei, Chuen Yuen, Fang Fang, Tung Li, Chiang Ching-Hsia "
18 Secrets of Kung Fu,Taiwan,https://en.hkcinema.ru/foto/994ac528.jpg,1980,martial arts,Chan Hung-Man ,"Lee Hoi-Hing, Wong Wing-Sang, Wong Chi-Sang, Got Siu-Bo, Mau Ging-Shun, Poon Cheung-Ming, Ricky Cheng Tien-Chi, Hsiao Hou-Tao, Wu Te-Shan "
18 Shaolin Disciples,Hong Kong,https://en.hkcinema.ru/foto/e7e791e7.jpg,1975,martial arts,"Hsu Tseng-Hung, Peter Pan Chi-Chun ","Chang Yu, Hsu Feng, Wen Chiang-Long, Carter Wong Ka-Tat, Mang Fei, Wang Ching-Ping, Liu Ping, Hsiao Yao, Ko Yu-Min, Li Min-Lang "
18 Fatal Strikes,Hong Kong,https://en.hkcinema.ru/foto/f9994a38.jpg,1978,martial arts,Yang Ching-Chen ,"Stephen Tung Wai, Dean Shek Tin, Wen Chiang-Long, Sze-Ma Lung, Shen Hai-Rong, Shut Chung-Tin, Kwan Hung, Shih Ting-Ken, Wong Hoi "
The 36 Crazy Fists,Hong Kong,https://en.hkcinema.ru/foto/96f7b314.jpg,1977,martial arts,Chen Chi-Hwa ,"Tony Leung Siu-Hung, Yen Shi-Kwan, Ku Feng, Lau Ga-Yung, Michelle Yim, Paul Chun Pui, Fung Hak-On, Jackie Chan, Ma Hon-Yuen, San Kuai, Chan Lau "
Thirty-Six Sword Guards,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1971,martial arts,Gwan Jing-Leung ,"Tanny Tien Ni, Lui Ming, Chan Kei, Han Chiang, Gwan Jing-Leung, Teng Jue-Jen, Lee Mei-Guen, Ching Wa, Tung Li, Cheung Kai "
The 36 Deadly Styles,Hong Kong,https://en.hkcinema.ru/foto/c6800bec.jpg,1979,martial arts,Joseph Kuo Nan-Hong ,"Jack Lung Sai-Ga, Nick Cheung Lik, Hwang Jang-Lee, Jeannie Chang Yung-Yung, Yen Shi-Kwan, Mark Lung Koon-Mo, Mau Ging-Shun, Fan Mei-Sheng "
The 36th Chamber of Shaolin,Hong Kong,https://en.hkcinema.ru/foto/e6b40994.jpg,1978,martial arts,Liu Chia-Liang ,"Gordon Liu Chia-Hui, Wong Yu, Lee Hoi-Sang, Lo Lieh, Norman Chu Siu-Keung, Hon Kwok-Choi, Alan Chui Chung-San, Billy Chan Wui-Ngai "
36 Super-Kids,Taiwan,https://en.hkcinema.ru/foto/0747f153.jpg,1982,"martial arts, children's",Sun Jung-Fa ,"Sonny Yue, Heung Wan-Pang, Wei Pin-Ao, Cho Boon-Feng, Ma Cheung, Cheung Hung-Gei, Ko Yu-Min, Wong Ching-Lam, Lin Kuang-Yung, Wong Yiu "
The 7 Grandmasters,Taiwan,https://en.hkcinema.ru/foto/8c741171.jpg,1978,martial arts,Joseph Kuo Nan-Hong ,"Li Yi-Min, Jack Lung Sai-Ga, Mark Lung Koon-Mo, Chin Yuet-Sang, Alan Chui Chung-San, Wang Fan, Wong Hoi, Eagle Lee Siu-Fei, Corey Yuen Kwai "
Bruce Tuan's 7 Promises,Taiwan,https://en.hkcinema.ru/foto/abb01ce1.jpg,1980,martial arts,Au-Yeung Wang ,"Mang Fei, Chan Sing, Yueh Hua, Ha Ling-Ling, Yee Yuen, Yuen Sam, Lee Seung, Goo Chang, Gam Boh, Alan Lau Tak-Hoi, Chang Peng "
The 7 Tyrants of Jiangnan,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1962,martial arts,Lung To ,"Yu Kai, Cheng Pik-Ying, Lam Yim, Mui Yan, Yam Yin, Ho Siu-Hung, Cheung Sang, Lau Hak-Suen, Yam Tai-Goon, Ng Ming-Choi, Sammo Hung Kam-Bo "
The 72 Desperate Rebels,Taiwan,https://en.hkcinema.ru/foto/90ce25d6.jpg,1978,martial arts,Lin Bing ,"Pai Ying, Chan Sing, Barry Chan, Chung Wah, Lung Fei, Miao Tian, Hsieh Han, Tsai Hung, Yu Chung-Chiu, Siu Gam, Yeung Sau-Guen "
8 Avatar,Hong Kong,https://en.hkcinema.ru/foto/sp_53879e7ddd892.jpg,2009,"science fiction, romance, comedy, martial arts",Kwong Yip-Sheng ,"Roger Kwok Chun-On, Ho Chung-Wa, Jia Qing, Akina Hong Wah, Hugo Ng Doi-Yung, Sonija Kwok Sin-Nae, Nikita Mao, Shao Chuan-Yong, David Chen Da-Wei "
8 Roaming Heroines (Part 1),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1962,martial arts,Fung Chi-Kong ,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan "
8 Roaming Heroines (Part 2),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1962,martial arts,Fung Chi-Kong ,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan "
Lung Wei Village,Taiwan,https://en.hkcinema.ru/foto/25eb7aa9.jpg,1978,martial arts,Tyrone Hsu Tien-Yung ,"Polly Shang-Kuan Ling-Feng, Lo Lieh, Yueh Hua, Wong Chi-Sang, Woo Gam, Yip Fei-Yang, Lau Yau-Bun, Lung Tien-Hsiang, Poon Cheung-Ming "
DOA: Dead or Alive,China,https://en.hkcinema.ru/foto/8929dae5.jpg,2006,"action, martial arts",Corey Yuen Kwai ,"Jaime Pressly, Devon Aoki, Holly Valance, Sarah Carter, Natassia Malthe, Kane Kosugi, Ngai Sing, Eric Roberts, Silvio Simac, Derek Boyer "
Abbot of Shaolin,Hong Kong,https://en.hkcinema.ru/foto/72785b43.jpg,1979,martial arts,Ho Meng-Hua ,"David Chiang Da-Wei, Lily Li Li-Li, Lo Lieh, Norman Chu Siu-Keung, Bruce Tong Yim-Chaan, Wang Han-Chen, Wong Kung-Miu, Wong Chi-Ming "
The Absurd Brave,Taiwan,https://en.hkcinema.ru/foto/a2f25718.jpg,1969,martial arts,Chang Fang-Hsia ,"Chiang Kuang-Chao, Sham Suet-Chun, Richard Chan Chun, Wong Yung, Cho Kin, Wang Sun, Ko Yu-Min, Ng Ho, Lui Jun, Yen Chung "
Venture of the Lady Musketeer,Hong Kong,https://en.hkcinema.ru/foto/c73ab22d.jpg,1961,martial arts,Wong Tin-Lam ,"Helen Li Mei, Chang Yang, So Fung, Wang Lai, Liu En-Jia, Ou-Yang Sha-Fei, Wu Chia-Hsiang, Chiang Kuang-Chao, Lee Ying, Chen Yu-Hsin "
The Adventurers,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1986,martial arts,Lee Lik-Chi ,"Wong Yu, Candice Yu On-On, Charlie Cho Cha-Lee, Ng Gong, Law Lok-Lam, Jaclyn Chu Wai-San, Ma Lai-Lee, Cheng Lui, Baau Hon-Lam, Lai Suen "
Empress Dowager's Agate Vase,Hong Kong,https://en.hkcinema.ru/foto/55cc8196d5a89.jpg,1974,"martial arts, comedy",Hou Cheng ,"Polly Shang-Kuan Ling-Feng, Woo Gam, Yueh Yang, Chiang Kuang-Chao, Got Siu-Bo, Hon Siu, Wang Sun, Go Ming, Tieh Meng-Chiu "
Infernal Street,Hong Kong,https://en.hkcinema.ru/foto/92667034.jpg,1973,martial arts,Shen Chiang ,"Yu Tien-Lung, Cho Kin, Wang Ching-Ping, Miao Tian, Yu Chung-Chiu, Chang Feng, Sun Yueh, Min Min, Si Sin-Dai, Lee Keung, Blacky Ko Sau-Leung "
