title,genre,country,year,director,starring,poster
13 Golden Nuns,martial arts,Taiwan,1977,Chang Mei-Chun ,"Pai Ying, Han Hsiang-Chin, Liang Hsiu-Shen, Cheung Yu-Yuk, Lam Dai, Goo Chang, Lee Ying ",https://en.hkcinema.ru/foto/d1f98117.jpg
The 13 Cold-Blooded Eagles,"martial arts, fantasy",Hong Kong,1993,Chui Fat ,"Waise Lee Chi-Hung, Cynthia Khan, Yen Shi-Kwan, Chung Fat, Wan Seung-Lam, Lau Ji-Wai, Anthony Cho Cheuk-Nin, Tin Ching, Ng Ting-Ko ",https://en.hkcinema.ru/foto/c6339753.jpg
13 Worms,"martial arts, comedy",Taiwan,1970,Hou Cheng ,"Violet Pan Ying-Zi, Chiang Ming, Lee Yan-Wa, Fong Wan-Wan, Sek Fung, Chiang Kuang-Chao, Heung Yeung, Ku Kwan, Li Yi-Min, Wong Yu ",https://en.hkcinema.ru/foto/bead8fa0.jpg
14 Blades,"martial arts, historical",Hong Kong,2010,Daniel Lee Yan-Gong ,"Donnie Yen Ji-Dan, Vicki Zhao Wei, Wu Ma, Kate Tsui Tsz-Shan, Law Kar-Ying, Sammo Hung Kam-Bo, Wu Chun, Fung Hak-On, Qi Yu-Wu, Chen Kuan-Tai ",https://en.hkcinema.ru/foto/bf050942.jpg
The 18 Amazones,martial arts,South Korea,1977,Kim Jung-Yong ,"Dragon Lee, Pearl Lin Yin-Zhu, Chang Yi-Tao, Kim Ki-Ju, Elton Chong, Kim Yu-Haeng, Guk Ching-Woon, Choe Mu-Ung, Kim Myeong-Ah, Kim Dong-Ho ",https://en.hkcinema.ru/foto/08712cd5.jpg
The 18 Bronzemen,martial arts,Taiwan,1976,Joseph Kuo Nan-Hong ,"Tien Peng, Carter Wong Ka-Tat, Polly Shang-Kuan Ling-Feng, Yee Yuen, Ko Yu-Min, Chiang Nan, Liu Ping, Chang Yu, Lu Bi-Yun, Kam Kong ",https://en.hkcinema.ru/foto/58adfc83b1d90.jpg
The 18 Bronze Girls of Shaolin,"martial arts, fantasy",Taiwan,1978,,"Doris Lung Chun-Erh, Kam Kong, Yueh Hua, Lee Ying, Liu Shan, Tung Fang-Yu, Sze-Ma Yu-Chiao, Chow Jun, Chen Chin-Hai, Au-Yeung Chung ",https://en.hkcinema.ru/foto/59b2c580.jpg
18 Shaolin Golden Boys,martial arts,Hong Kong,1996,Do Wai-Daat ,"Yu Rong-Guang, Willie Chi Tin-Sang, Cherie Chan Siu-Ha, Shing Fui-On, Billy Chow Bei-Lei, William Ho Ka-Kui, Chung Gwok-Lung, Lee Chi-Chung ",https://en.hkcinema.ru/foto/913c3a87.jpg
18 Swirling Riders,martial arts,Taiwan,1977,Lin Fu-Ti ,"Chan Sing, Chia Ling, Lo Lieh, Don Wong Tao, Wen Chiang-Long, Chan Wai-Lau, Fan Dan-Fung, Cheung Ying, Liu Ping, Cheng Fu-Hung ",https://en.hkcinema.ru/foto/ed51ae8a.jpg
The Eighteen Jade Arhats,martial arts,Hong Kong,1978,Cheung Git ,"Polly Shang-Kuan Ling-Feng, Li Lung-Hua, Lo Lieh, Lung Fei, Chang Yu, Phillip Ko Fei, Chuen Yuen, Fang Fang, Tung Li, Chiang Ching-Hsia ",https://en.hkcinema.ru/foto/ef2aa597.jpg
18 Secrets of Kung Fu,martial arts,Taiwan,1980,Chan Hung-Man ,"Lee Hoi-Hing, Wong Wing-Sang, Wong Chi-Sang, Got Siu-Bo, Mau Ging-Shun, Poon Cheung-Ming, Ricky Cheng Tien-Chi, Hsiao Hou-Tao, Wu Te-Shan ",https://en.hkcinema.ru/foto/994ac528.jpg
18 Shaolin Disciples,martial arts,Hong Kong,1975,"Hsu Tseng-Hung, Peter Pan Chi-Chun ","Chang Yu, Hsu Feng, Wen Chiang-Long, Carter Wong Ka-Tat, Mang Fei, Wang Ching-Ping, Liu Ping, Hsiao Yao, Ko Yu-Min, Li Min-Lang ",https://en.hkcinema.ru/foto/e7e791e7.jpg
18 Fatal Strikes,martial arts,Hong Kong,1978,Yang Ching-Chen ,"Stephen Tung Wai, Dean Shek Tin, Wen Chiang-Long, Sze-Ma Lung, Shen Hai-Rong, Shut Chung-Tin, Kwan Hung, Shih Ting-Ken, Wong Hoi ",https://en.hkcinema.ru/foto/f9994a38.jpg
The 36 Crazy Fists,martial arts,Hong Kong,1977,Chen Chi-Hwa ,"Tony Leung Siu-Hung, Yen Shi-Kwan, Ku Feng, Lau Ga-Yung, Michelle Yim, Paul Chun Pui, Fung Hak-On, Jackie Chan, Ma Hon-Yuen, San Kuai, Chan Lau ",https://en.hkcinema.ru/foto/96f7b314.jpg
Thirty-Six Sword Guards,martial arts,Hong Kong,1971,Gwan Jing-Leung ,"Tanny Tien Ni, Lui Ming, Chan Kei, Han Chiang, Gwan Jing-Leung, Teng Jue-Jen, Lee Mei-Guen, Ching Wa, Tung Li, Cheung Kai ",https://en.hkcinema.ru/foto/nofoto.gif
The 36 Deadly Styles,martial arts,Hong Kong,1979,Joseph Kuo Nan-Hong ,"Jack Lung Sai-Ga, Nick Cheung Lik, Hwang Jang-Lee, Jeannie Chang Yung-Yung, Yen Shi-Kwan, Mark Lung Koon-Mo, Mau Ging-Shun, Fan Mei-Sheng ",https://en.hkcinema.ru/foto/c6800bec.jpg
The 36th Chamber of Shaolin,martial arts,Hong Kong,1978,Liu Chia-Liang ,"Gordon Liu Chia-Hui, Wong Yu, Lee Hoi-Sang, Lo Lieh, Norman Chu Siu-Keung, Hon Kwok-Choi, Alan Chui Chung-San, Billy Chan Wui-Ngai ",https://en.hkcinema.ru/foto/e6b40994.jpg
36 Super-Kids,"martial arts, children's",Taiwan,1982,Sun Jung-Fa ,"Sonny Yue, Heung Wan-Pang, Wei Pin-Ao, Cho Boon-Feng, Ma Cheung, Cheung Hung-Gei, Ko Yu-Min, Wong Ching-Lam, Lin Kuang-Yung, Wong Yiu ",https://en.hkcinema.ru/foto/0747f153.jpg
The 7 Grandmasters,martial arts,Taiwan,1978,Joseph Kuo Nan-Hong ,"Li Yi-Min, Jack Lung Sai-Ga, Mark Lung Koon-Mo, Chin Yuet-Sang, Alan Chui Chung-San, Wang Fan, Wong Hoi, Eagle Lee Siu-Fei, Corey Yuen Kwai ",https://en.hkcinema.ru/foto/8c741171.jpg
Bruce Tuan's 7 Promises,martial arts,Taiwan,1980,Au-Yeung Wang ,"Mang Fei, Chan Sing, Yueh Hua, Ha Ling-Ling, Yee Yuen, Yuen Sam, Lee Seung, Goo Chang, Gam Boh, Alan Lau Tak-Hoi, Chang Peng ",https://en.hkcinema.ru/foto/abb01ce1.jpg
The 7 Tyrants of Jiangnan,martial arts,Hong Kong,1962,Lung To ,"Yu Kai, Cheng Pik-Ying, Lam Yim, Mui Yan, Yam Yin, Ho Siu-Hung, Cheung Sang, Lau Hak-Suen, Yam Tai-Goon, Ng Ming-Choi, Sammo Hung Kam-Bo ",https://en.hkcinema.ru/foto/nofoto.gif
The 72 Desperate Rebels,martial arts,Taiwan,1978,Lin Bing ,"Pai Ying, Chan Sing, Barry Chan, Chung Wah, Lung Fei, Miao Tian, Hsieh Han, Tsai Hung, Yu Chung-Chiu, Siu Gam, Yeung Sau-Guen ",https://en.hkcinema.ru/foto/90ce25d6.jpg
8 Avatar,"science fiction, romance, comedy, martial arts",Hong Kong,2009,Kwong Yip-Sheng ,"Roger Kwok Chun-On, Ho Chung-Wa, Jia Qing, Akina Hong Wah, Hugo Ng Doi-Yung, Sonija Kwok Sin-Nae, Nikita Mao, Shao Chuan-Yong, David Chen Da-Wei ",https://en.hkcinema.ru/foto/sp_53879e7ddd892.jpg
8 Roaming Heroines (Part 1),martial arts,Hong Kong,1962,Fung Chi-Kong ,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan ",https://en.hkcinema.ru/foto/nofoto.gif
8 Roaming Heroines (Part 2),martial arts,Hong Kong,1962,Fung Chi-Kong ,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan ",https://en.hkcinema.ru/foto/nofoto.gif
Lung Wei Village,martial arts,Taiwan,1978,Tyrone Hsu Tien-Yung ,"Polly Shang-Kuan Ling-Feng, Lo Lieh, Yueh Hua, Wong Chi-Sang, Woo Gam, Yip Fei-Yang, Lau Yau-Bun, Lung Tien-Hsiang, Poon Cheung-Ming ",https://en.hkcinema.ru/foto/25eb7aa9.jpg
DOA: Dead or Alive,"action, martial arts",China,2006,Corey Yuen Kwai ,"Jaime Pressly, Devon Aoki, Holly Valance, Sarah Carter, Natassia Malthe, Kane Kosugi, Ngai Sing, Eric Roberts, Silvio Simac, Derek Boyer ",https://en.hkcinema.ru/foto/8929dae5.jpg
Abbot of Shaolin,martial arts,Hong Kong,1979,Ho Meng-Hua ,"David Chiang Da-Wei, Lily Li Li-Li, Lo Lieh, Norman Chu Siu-Keung, Bruce Tong Yim-Chaan, Wang Han-Chen, Wong Kung-Miu, Wong Chi-Ming ",https://en.hkcinema.ru/foto/72785b43.jpg
The Absurd Brave,martial arts,Taiwan,1969,Chang Fang-Hsia ,"Chiang Kuang-Chao, Sham Suet-Chun, Richard Chan Chun, Wong Yung, Cho Kin, Wang Sun, Ko Yu-Min, Ng Ho, Lui Jun, Yen Chung ",https://en.hkcinema.ru/foto/a2f25718.jpg
Venture of the Lady Musketeer,martial arts,Hong Kong,1961,Wong Tin-Lam ,"Helen Li Mei, Chang Yang, So Fung, Wang Lai, Liu En-Jia, Ou-Yang Sha-Fei, Wu Chia-Hsiang, Chiang Kuang-Chao, Lee Ying, Chen Yu-Hsin ",https://en.hkcinema.ru/foto/c73ab22d.jpg
The Adventurers,martial arts,Hong Kong,1986,Lee Lik-Chi ,"Wong Yu, Candice Yu On-On, Charlie Cho Cha-Lee, Ng Gong, Law Lok-Lam, Jaclyn Chu Wai-San, Ma Lai-Lee, Cheng Lui, Baau Hon-Lam, Lai Suen ",https://en.hkcinema.ru/foto/nofoto.gif
Empress Dowager's Agate Vase,"martial arts, comedy",Hong Kong,1974,Hou Cheng ,"Polly Shang-Kuan Ling-Feng, Woo Gam, Yueh Yang, Chiang Kuang-Chao, Got Siu-Bo, Hon Siu, Wang Sun, Go Ming, Tieh Meng-Chiu ",https://en.hkcinema.ru/foto/55cc8196d5a89.jpg
Infernal Street,martial arts,Hong Kong,1973,Shen Chiang ,"Yu Tien-Lung, Cho Kin, Wang Ching-Ping, Miao Tian, Yu Chung-Chiu, Chang Feng, Sun Yueh, Min Min, Si Sin-Dai, Lee Keung, Blacky Ko Sau-Leung ",https://en.hkcinema.ru/foto/92667034.jpg
Hellfighers,martial arts,Hong Kong,1971,"Li Kuo-Hua, Shih Hung ","Violet Pan Ying-Zi, Kong Ban, Chen Hung-Lieh, Wong Cheung-Ling, Wai Wang, Han Chiang, Law Bun, Cho Kin ",https://en.hkcinema.ru/foto/nofoto.gif
"Infernal Gate, The (Part 1)",martial arts,Hong Kong,1966,Siu Sang ,"Josephine Siao Fong-Fong, Connie Chan Po-Chu, Lee Hung, Sek Kin, Lee Heung-Kam, Yung Yuk-Yi, Yam Bing-Yee, Lau Ching, Siu Chung-Kwan ",https://en.hkcinema.ru/foto/592e59ca.jpg
"Infernal Gate, The (Part 2)",martial arts,Hong Kong,1966,Siu Sang ,"Josephine Siao Fong-Fong, Connie Chan Po-Chu, Lee Hung, Sek Kin, Lee Heung-Kam, Tang Ti, Lau Ching, Yam Bing-Yee, Lin Jing ",https://en.hkcinema.ru/foto/1bc1fb13.jpg
The Dragon and the Tiger Kids,martial arts,Hong Kong,1979,"Tony Liu Chun-Ku, Tony Wong Yuk-Long ","Meng Yuen-Man, Mang Hoi, Hwang Jang-Lee, Jason Pai Piao, Lau Hok-Nin, Yip Fei-Yang, Kwan Yung-Moon, Wang Han-Chen, Hsu Hsia, Tai San ",https://en.hkcinema.ru/foto/61038230.jpg
Crimson Girl,martial arts,Hong Kong,1961,Wong Hok-Sing ,"Sun-Ma Sze-Tsang, Yu Lai-Zhen, Poon Yat-On, Lee Heung-Kam, Lau Hak-Suen, Connie Chan Po-Chu, Yuen Lap-Cheung, Ling Mung, Cheung Sing-Fei ",https://en.hkcinema.ru/foto/03e358c5.jpg
The Crimson Palm,martial arts,Hong Kong,1964,Chen Yu-Hsin ,"Ivy Ling Po, Chin Ping, Li Ching, Ching Miao, Tang Ti, Yiu Kwang-Chao, Chiang Kuang-Chao, Tien Feng, Chen Yan-Yan, Yip Ching ",https://en.hkcinema.ru/foto/36e7224c.jpg
The Scarlet Hero,martial arts,Hong Kong,1951,Yeung Kung-Leung ,"Yu So-Chau, Wong Hok-Sing, Lam Mui-Mui, Sek Yin-Tsi, Koo Tin-Ng, Lam Kar-Yee, Lau Kwai-Hong, Ling Mung, Sek Kin ",https://en.hkcinema.ru/foto/8b7a5ced.jpg
The Unity Of Heroes,"martial arts, action, drama, comedy, historical",China,2018,Lin Zhen-Zhao ,"Vincent Zhao Wen-Zhuo, Michael Tong Man-Lung, Wei Ni, Xu Zheng-Guo, Li Bing-Yuan, Wei Xiao-Huan, Li Bu-Bing, Chen Chen, Dan Ni-Si ",https://en.hkcinema.ru/foto/5bc5a1eb250a8.jpg
Unity of Heroes 2,"historical, martial arts",China,2018,Marco Mak Chi-Sin ,"Vincent Zhao Wen-Zhuo, Miya Mu-Qi, Li Bu-Bing, Wei Ni, Wei Xiao-Huan, Chen Chen, Gao Xuan-Ming, Sawada Kenya, Sang Wei-Lin, Zhang Ya-Kun ",https://en.hkcinema.ru/foto/5c3430274ea21.jpg
The Jade Hairpin Alliance,martial arts,Taiwan,1980,Tang Chen-Dah ,"Lau Wing, Nau Nau, Pai Ying, Chan Sing, Chiang Ching-Hsia, Li Wan-Chun, Lee Ying, Wan Shan, Wan Chung-Shan, Han Ying-Chieh ",https://en.hkcinema.ru/foto/280ce499.jpg
Blue Butterfly the Amazon,martial arts,South Korea,1983,Choe U-Hyeong ,"Lee Joi-Wing, Jin Nu-Ri, Martin Chui Man-Kwai, Mike Wong Lung, Yoon Il-Ju, Kim Wuk, Jang Cheol, Kim Ki-Hong, Kim Won-cheol, Park Wan-Su ",https://en.hkcinema.ru/foto/nofoto.gif
Ambitious Kung Fu Girl,"martial arts, comedy",Hong Kong,1981,Tony Liu Chun-Ku ,"Michelle Yim, Yuen Tak, Chen Kuan-Tai, Lam Sau-Kwan, Choh Seung-Wan, Wong Mei-Mei, Chu Tit-Wo, Austin Wai Tin-Chi, Ching Miao ",https://en.hkcinema.ru/foto/f910b138.jpg
American Shaolin,"action, martial arts",USA,1991,Lucas Lowe ,"Reese Madigan, Daniel Dae Kim, Billy Chang, Cliff Lenderman, Henry O., Michael Depasquale Jr., Trent Bushey, Kong Miu-Deng, Kwan Yung ",https://en.hkcinema.ru/foto/4f03385e.jpg
