Title,Country,Year,Genre,Director,Starring,Poster URL
Anna in Kungfu-land,Hong Kong,2003,"martial arts, comedy",Raymond Yip Wai-Man ,"Miriam Yeung Chin-Wah, Ekin Cheng Yee-Kin, Wong Yau-Nam, Denise Ho Wan-Si, Lau Kar-Wing, Lee Lik-Chi, Tats Lau Yi-Tat, Charles Ingram ",https://en.hkcinema.ru/foto/590040ae.jpg
8 Roaming Heroines (Part 1),Hong Kong,1962,martial arts,Fung Chi-Kong ,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan ",https://en.hkcinema.ru/foto/nofoto.gif
Twin Charms,Hong Kong,1963,martial arts,Chow Sze-Luk ,"Chuang Shueh-Chuang, Fang Chiao-Yu, Ting Chor-Kiow, Lam Jing-Yee, Chen Li-Juan, Chen Wen-Chang, Qiu Li-Qing, Zheng Chun-Ying, Chan To ",https://en.hkcinema.ru/foto/nofoto.gif
Butterfly Sword,Hong Kong,1993,martial arts,Michael Mak Dong-Git ,"Tony Leung Chiu-Wai, Joey Wong Cho-Yin, Donnie Yen Ji-Dan, Michelle Yeoh, Tou Chung-Hua, Elvis Tsui Kam-Kong, Wong Chung-Kui, Wong Yiu ",https://en.hkcinema.ru/foto/e27a917b.jpg
13 Worms,Taiwan,1970,"martial arts, comedy",Hou Cheng ,"Violet Pan Ying-Zi, Chiang Ming, Lee Yan-Wa, Fong Wan-Wan, Sek Fung, Chiang Kuang-Chao, Heung Yeung, Ku Kwan, Li Yi-Min, Wong Yu ",https://en.hkcinema.ru/foto/bead8fa0.jpg
The 36th Chamber of Shaolin,Hong Kong,1978,martial arts,Liu Chia-Liang ,"Gordon Liu Chia-Hui, Wong Yu, Lee Hoi-Sang, Lo Lieh, Norman Chu Siu-Keung, Hon Kwok-Choi, Alan Chui Chung-San, Billy Chan Wui-Ngai ",https://en.hkcinema.ru/foto/e6b40994.jpg
The 18 Amazones,South Korea,1977,martial arts,Kim Jung-Yong ,"Dragon Lee, Pearl Lin Yin-Zhu, Chang Yi-Tao, Kim Ki-Ju, Elton Chong, Kim Yu-Haeng, Guk Ching-Woon, Choe Mu-Ung, Kim Myeong-Ah, Kim Dong-Ho ",https://en.hkcinema.ru/foto/08712cd5.jpg
Empress Dowager's Agate Vase,Hong Kong,1974,"martial arts, comedy",Hou Cheng ,"Polly Shang-Kuan Ling-Feng, Woo Gam, Yueh Yang, Chiang Kuang-Chao, Got Siu-Bo, Hon Siu, Wang Sun, Go Ming, Tieh Meng-Chiu ",https://en.hkcinema.ru/foto/55cc8196d5a89.jpg
Hellfighers,Hong Kong,1971,martial arts,"Li Kuo-Hua, Shih Hung ","Violet Pan Ying-Zi, Kong Ban, Chen Hung-Lieh, Wong Cheung-Ling, Wai Wang, Han Chiang, Law Bun, Cho Kin ",https://en.hkcinema.ru/foto/nofoto.gif
The Jade Hairpin Alliance,Taiwan,1980,martial arts,Tang Chen-Dah ,"Lau Wing, Nau Nau, Pai Ying, Chan Sing, Chiang Ching-Hsia, Li Wan-Chun, Lee Ying, Wan Shan, Wan Chung-Shan, Han Ying-Chieh ",https://en.hkcinema.ru/foto/280ce499.jpg
