country,director,genre,poster,release_year,starring,title
Hong Kong,Raymond Yip Wai-Man ,"martial arts, comedy",https://en.hkcinema.ru/foto/590040ae.jpg,2003,"Miriam Yeung Chin-Wah, Ekin Cheng Yee-Kin, Wong Yau-Nam, Denise Ho Wan-Si, Lau Kar-Wing, Lee Lik-Chi, Tats Lau Yi-Tat, Charles Ingram ",Anna in Kungfu-land
Hong Kong,Fung Chi-Kong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan ",8 Roaming Heroines (Part 1)
Hong Kong,Chow Sze-Luk ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1963,"Chuang Shueh-Chuang, Fang Chiao-Yu, Ting Chor-Kiow, Lam Jing-Yee, Chen Li-Juan, Chen Wen-Chang, Qiu Li-Qing, Zheng Chun-Ying, Chan To ",Twin Charms
Hong Kong,Michael Mak Dong-Git ,martial arts,https://en.hkcinema.ru/foto/e27a917b.jpg,1993,"Tony Leung Chiu-Wai, Joey Wong Cho-Yin, Donnie Yen Ji-Dan, Michelle Yeoh, Tou Chung-Hua, Elvis Tsui Kam-Kong, Wong Chung-Kui, Wong Yiu ",Butterfly Sword
Taiwan,Hou Cheng ,"martial arts, comedy",https://en.hkcinema.ru/foto/bead8fa0.jpg,1970,"Violet Pan Ying-Zi, Chiang Ming, Lee Yan-Wa, Fong Wan-Wan, Sek Fung, Chiang Kuang-Chao, Heung Yeung, Ku Kwan, Li Yi-Min, Wong Yu ",13 Worms
Hong Kong,Liu Chia-Liang ,martial arts,https://en.hkcinema.ru/foto/e6b40994.jpg,1978,"Gordon Liu Chia-Hui, Wong Yu, Lee Hoi-Sang, Lo Lieh, Norman Chu Siu-Keung, Hon Kwok-Choi, Alan Chui Chung-San, Billy Chan Wui-Ngai ",The 36th Chamber of Shaolin
South Korea,Kim Jung-Yong ,martial arts,https://en.hkcinema.ru/foto/08712cd5.jpg,1977,"Dragon Lee, Pearl Lin Yin-Zhu, Chang Yi-Tao, Kim Ki-Ju, Elton Chong, Kim Yu-Haeng, Guk Ching-Woon, Choe Mu-Ung, Kim Myeong-Ah, Kim Dong-Ho ",The 18 Amazones
Hong Kong,Hou Cheng ,"martial arts, comedy",https://en.hkcinema.ru/foto/55cc8196d5a89.jpg,1974,"Polly Shang-Kuan Ling-Feng, Woo Gam, Yueh Yang, Chiang Kuang-Chao, Got Siu-Bo, Hon Siu, Wang Sun, Go Ming, Tieh Meng-Chiu ",Empress Dowager's Agate Vase
Hong Kong,"Li Kuo-Hua, Shih Hung ",martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1971,"Violet Pan Ying-Zi, Kong Ban, Chen Hung-Lieh, Wong Cheung-Ling, Wai Wang, Han Chiang, Law Bun, Cho Kin ",Hellfighers
Taiwan,Tang Chen-Dah ,martial arts,https://en.hkcinema.ru/foto/280ce499.jpg,1980,"Lau Wing, Nau Nau, Pai Ying, Chan Sing, Chiang Ching-Hsia, Li Wan-Chun, Lee Ying, Wan Shan, Wan Chung-Shan, Han Ying-Chieh ",The Jade Hairpin Alliance
China,Hong Qi ,"mystery, martial arts",https://en.hkcinema.ru/foto/5bea660d2f028.jpg,2018,"Wang Jun-Hao, Li Zheng-Quan, Liu Zhi-Mei, Li Hong-Ru, Mu Jian-Rong, Sun Yuan-Ning, Li Zhen, Li Xuan-Ting, Su Xiao-Hua, Zhou Jia-Ming ",Huo Shao Yun Zhi Bo Luo Bao
Hong Kong,Shen Chiang ,martial arts,https://en.hkcinema.ru/foto/92667034.jpg,1973,"Yu Tien-Lung, Cho Kin, Wang Ching-Ping, Miao Tian, Yu Chung-Chiu, Chang Feng, Sun Yueh, Min Min, Si Sin-Dai, Lee Keung, Blacky Ko Sau-Leung ",Infernal Street
Hong Kong,"Hsu Tseng-Hung, Peter Pan Chi-Chun ",martial arts,https://en.hkcinema.ru/foto/e7e791e7.jpg,1975,"Chang Yu, Hsu Feng, Wen Chiang-Long, Carter Wong Ka-Tat, Mang Fei, Wang Ching-Ping, Liu Ping, Hsiao Yao, Ko Yu-Min, Li Min-Lang ",18 Shaolin Disciples
Taiwan,,"martial arts, fantasy",https://en.hkcinema.ru/foto/59b2c580.jpg,1978,"Doris Lung Chun-Erh, Kam Kong, Yueh Hua, Lee Ying, Liu Shan, Tung Fang-Yu, Sze-Ma Yu-Chiao, Chow Jun, Chen Chin-Hai, Au-Yeung Chung ",The 18 Bronze Girls of Shaolin
Taiwan,Sun Jung-Fa ,"martial arts, children's",https://en.hkcinema.ru/foto/0747f153.jpg,1982,"Sonny Yue, Heung Wan-Pang, Wei Pin-Ao, Cho Boon-Feng, Ma Cheung, Cheung Hung-Gei, Ko Yu-Min, Wong Ching-Lam, Lin Kuang-Yung, Wong Yiu ",36 Super-Kids
Hong Kong,Yeung Kung-Leung ,martial arts,https://en.hkcinema.ru/foto/8b7a5ced.jpg,1951,"Yu So-Chau, Wong Hok-Sing, Lam Mui-Mui, Sek Yin-Tsi, Koo Tin-Ng, Lam Kar-Yee, Lau Kwai-Hong, Ling Mung, Sek Kin ",The Scarlet Hero
Hong Kong,Tsui Hark ,martial arts,https://en.hkcinema.ru/foto/66e28122.jpg,1979,"Lau Siu-Ming, Michelle Yim, JoJo Chan Kei-Kei, Chang Kuo-Chu, Wong Shu-Tong, Ha Kwong-Li, Tsui Siu-Ling, Eddy Ko Hung, Tino Wong Cheung ",The Butterfly Murders
Hong Kong,Yang Ching-Chen ,martial arts,https://en.hkcinema.ru/foto/f9994a38.jpg,1978,"Stephen Tung Wai, Dean Shek Tin, Wen Chiang-Long, Sze-Ma Lung, Shen Hai-Rong, Shut Chung-Tin, Kwan Hung, Shih Ting-Ken, Wong Hoi ",18 Fatal Strikes
Hong Kong,Fung Chi-Kong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan ",8 Roaming Heroines (Part 2)
Taiwan,Tyrone Hsu Tien-Yung ,martial arts,https://en.hkcinema.ru/foto/25eb7aa9.jpg,1978,"Polly Shang-Kuan Ling-Feng, Lo Lieh, Yueh Hua, Wong Chi-Sang, Woo Gam, Yip Fei-Yang, Lau Yau-Bun, Lung Tien-Hsiang, Poon Cheung-Ming ",Lung Wei Village
Taiwan,Chang Fang-Hsia ,martial arts,https://en.hkcinema.ru/foto/a2f25718.jpg,1969,"Chiang Kuang-Chao, Sham Suet-Chun, Richard Chan Chun, Wong Yung, Cho Kin, Wang Sun, Ko Yu-Min, Ng Ho, Lui Jun, Yen Chung ",The Absurd Brave
Hong Kong,Lee Lik-Chi ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1986,"Wong Yu, Candice Yu On-On, Charlie Cho Cha-Lee, Ng Gong, Law Lok-Lam, Jaclyn Chu Wai-San, Ma Lai-Lee, Cheng Lui, Baau Hon-Lam, Lai Suen ",The Adventurers
China,Lin Zhen-Zhao ,"martial arts, action, drama, comedy, historical",https://en.hkcinema.ru/foto/5bc5a1eb250a8.jpg,2018,"Vincent Zhao Wen-Zhuo, Michael Tong Man-Lung, Wei Ni, Xu Zheng-Guo, Li Bing-Yuan, Wei Xiao-Huan, Li Bu-Bing, Chen Chen, Dan Ni-Si ",The Unity Of Heroes
South Korea,Choe U-Hyeong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1983,"Lee Joi-Wing, Jin Nu-Ri, Martin Chui Man-Kwai, Mike Wong Lung, Yoon Il-Ju, Kim Wuk, Jang Cheol, Kim Ki-Hong, Kim Won-cheol, Park Wan-Su ",Blue Butterfly the Amazon
Hong Kong,Jingle Ma Choh-Shing ,"martial arts, romance",https://en.hkcinema.ru/foto/6e172a4f.jpg,2008,"Charlene Choi Cheuk-Yin, Wu Chun, Hu Ge, Shao Bing, Bonnie Sin Sik-Lai, Wan Qian, Wei Yi-Bo, Jerry Yuan Cheng-Jie, Fan Siu-Wong, Xiong Xin-Xin ",Butterfly Lovers
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/6de5b200.jpg,1959,"Kwan Tak-Hing, Walter Tso Tat-Wah, Sek Kin, Yam Yin, Yam Tai-Goon, Gam Lau, Ng Yan-Chi, Chow Chung, Wong Hak, Lai Man ",The Rascal He on Fire
Hong Kong,Lung To ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Yu Kai, Cheng Pik-Ying, Lam Yim, Mui Yan, Yam Yin, Ho Siu-Hung, Cheung Sang, Lau Hak-Suen, Yam Tai-Goon, Ng Ming-Choi, Sammo Hung Kam-Bo ",The 7 Tyrants of Jiangnan
